Functional SecurityRole Name,Description,SecurityRole,EmailId
FINAPARGL,Finance AP/AR/GL,AR01RW,
FINAPARGL,Finance AP/AR/GL,AR02RO,
FINAPARGL,Finance AP/AR/GL,AR02RW,
FINAPARGL,Finance AP/AR/GL,AR03RO,
FINAPARGL,Finance AP/AR/GL,AR04RO,
FINAPARGL,Finance AP/AR/GL,BU01RO,
FINAPARGL,Finance AP/AR/GL,BU01RW,
FINAPARGL,Finance AP/AR/GL,BU02RO,
FINAPARGL,Finance AP/AR/GL,GL01RO,
FINAPARGL,Finance AP/AR/GL,GL01RW,
FINAPARGL,Finance AP/AR/GL,GL02RO,
FINAPARGL,Finance AP/AR/GL,GL03RO,
FINAPARGL,Finance AP/AR/GL,GL04RO,
FINAPARGL,Finance AP/AR/GL,GL04RW,
FINAPARGL,Finance AP/AR/GL,GL05RO,
FINAPARGL,Finance AP/AR/GL,MD12RW,
FINAPARGL,Finance AP/AR/GL,MD13RO,
FINAPARGL,Finance AP/AR/GL,MD13RW,
FINAPARGL,Finance AP/AR/GL,MD14RO,
FINAPARGL,Finance AP/AR/GL,MD14RW,
FINAPARGL,Finance AP/AR/GL,MD15RO,
FINAPARGL,Finance AP/AR/GL,MD16RO,
FINAPARGL,Finance AP/AR/GL,MD17RO,
FINAPARGL,Finance AP/AR/GL,OR01RO,
FINAPARGL,Finance AP/AR/GL,OR02RO,
FINAPARGL,Finance AP/AR/GL,OR03RO,
FINAPARGL,Finance AP/AR/GL,OR05RW,
FINAPARGL,Finance AP/AR/GL,PU02RO,
FINAPARGL,Finance AP/AR/GL,RE01RW,
FINAPARGL,Finance AP/AR/GL,RP01RO,
FINAPARGL,Finance AP/AR/GL,SA01RO,
FINAPARGL,Finance AP/AR/GL,TX01RO,
FINAPARGL,Finance AP/AR/GL,TX01RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP01RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP01RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP02RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP02RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP03RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP04RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP04RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,AP05RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AR01RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AR01RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,AR02RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,AR02RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,AR04RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,BU02RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,GL01RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,GL01RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,GL02RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,GL03RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,GL04RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,GL05RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD12RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD13RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD13RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD14RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD14RW,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD16RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,MD17RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,PU02RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,RP01RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,SA01RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,TX01RO,
FINAPG2,Finance Accounts Payable 2 AP/GL,TX01RW,
FINAPGL,Finance Accounts Payable/GL,AP01RO,
FINAPGL,Finance Accounts Payable/GL,AP01RW,
FINAPGL,Finance Accounts Payable/GL,AP02RO,
FINAPGL,Finance Accounts Payable/GL,AP02RW,
FINAPGL,Finance Accounts Payable/GL,AP03RO,
FINAPGL,Finance Accounts Payable/GL,AP04RO,
FINAPGL,Finance Accounts Payable/GL,AP04RW,
FINAPGL,Finance Accounts Payable/GL,AP05RO,
FINAPGL,Finance Accounts Payable/GL,AR01RO,
FINAPGL,Finance Accounts Payable/GL,AR02RO,
FINAPGL,Finance Accounts Payable/GL,AR02RW,
FINAPGL,Finance Accounts Payable/GL,AR04RO,
