tdcono|tddivi|tdidtr|tdmvxp|tdextp|tdmvxd|tdmbmd|tdtx15|tdtx40|tdtxid|tdrgdt|tdrgtm|tdlmdt|tdchno|tdchid
100||142|||C21|0079297481FAQDS|0079297481FAQDS|0079297481FAQDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FELDR|0079297481FELDR|0079297481FELDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FELDS|0079297481FELDS|0079297481FELDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FLRDR|0079297481FLRDR|0079297481FLRDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FLRDS|0079297481FLRDS|0079297481FLRDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FOKDR|0079297481FOKDR|0079297481FOKDR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FOKDS|0079297481FOKDS|0079297481FOKDS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FSADR|0079297481FSADR|0079297481FSADR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079297481FSADS|0079297481FSADS|0079297481FSADS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079702210000DR|0079702210000DR|0079702210000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079702210000DS|0079702210000DS|0079702210000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079943610000DR|0079943610000DR|0079943610000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0079943610000DS|0079943610000DS|0079943610000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0083967000016DR|0083967000016DR|0083967000016DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0083967000016DS|0083967000016DS|0083967000016DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0084264390000DR|0084264390000DR|0084264390000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0084264390000DS|0084264390000DS|0084264390000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|011051369DR|011051369DR|011051369DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|011051369DS|011051369DS|011051369DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0141881550000DR|0141881550000DR|0141881550000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0141881550000DS|0141881550000DS|0141881550000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0149473600000DR|0149473600000DR|0149473600000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0149473600000DS|0149473600000DS|0149473600000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|016808323000DR|016808323000DR|016808323000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|016808323000DS|016808323000DS|016808323000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0196614660000DR|0196614660000DR|0196614660000DR|0|20260505|132135|20260505|1|SCOUGHLAN
